资料名称,资料类型,资料链接,能力主题,推荐程度,推荐理由,推荐人
《AI Engineering: Building Applications with Foundation Models》,书籍,,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Anthropic《AI Fluency: Framework & Foundations》(Coursera，免费),在线课程/官方文档,https://www.coursera.org/learn/ai-fluency-framework-foundations,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Skilljar版,在线课程/官方文档,https://anthropic.skilljar.com/ai-fluency-framework-foundations,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Coursera Blog《Anthropic launches five free courses on Coursera》,文章/其他资料,https://blog.coursera.org/anthropic-launches-five-free-courses-on-coursera-to-help-build-ai-fluency/,【全员通用】通用AI素养与AI Fluency 4D框架,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Designing Large Language Model Applications》,书籍,,【全员通用】Prompt工程基础与进阶,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Anthropic官方互动教程《Prompt Engineering Interactive Tutorial》(GitHub，免费),在线课程/官方文档,https://github.com/anthropics/prompt-eng-interactive-tutorial,【全员通用】Prompt工程基础与进阶,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
DeepLearning.AI《ChatGPT Prompt Engineering for Developers》,在线课程/官方文档,https://www.deeplearning.ai/courses/,【全员通用】Prompt工程基础与进阶,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Anthropic Prompt Engineering官方文档,文章/其他资料,https://docs.claude.com,【全员通用】Prompt工程基础与进阶,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Building a Second Brain》,书籍,,【全员通用】知识工程与Context管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Notion官方文档,在线课程/官方文档,https://www.notion.com/help,【全员通用】知识工程与Context管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Obsidian官方文档,在线课程/官方文档,https://help.obsidian.md,【全员通用】知识工程与Context管理,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Engineering: Building Applications with Foundation Models》,书籍,,"【技术-应用】AI辅助开发(架构设计,  编码与代码审查等)",⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
GitHub Copilot官方文档,在线课程/官方文档,https://docs.github.com/copilot,"【技术-应用】AI辅助开发(架构设计,  编码与代码审查等)",⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Anthropic Claude Code官方文档,在线课程/官方文档,https://docs.claude.com/en/docs/claude-code,"【技术-应用】AI辅助开发(架构设计,  编码与代码审查等)",⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
GitHub仓库 chiphuyen/aie-book（书籍配套资源）,文章/其他资料,https://github.com/chiphuyen/aie-book,"【技术-应用】AI辅助开发(架构设计,  编码与代码审查等)",⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《AI Engineering: Building Applications with Foundation Models》,书籍,,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Designing Large Language Model Applications》,书籍,,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
O'Reilly图书页,在线课程/官方文档,https://www.oreilly.com/library/view/ai-engineering/9781098166298/,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
https://www.oreilly.com/library/view/designing-large-language/9781098150495/,在线课程/官方文档,https://www.oreilly.com/library/view/designing-large-language/9781098150495/,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
作者播客访谈 The Pragmatic Engineer《AI Engineering with Chip Huyen》,文章/其他资料,https://newsletter.pragmaticengineer.com/p/ai-engineering-with-chip-huyen,【技术-应用】LLM应用技术选型与架构设计,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
"《AI Agents in Action, Second Edition》",书籍,,【技术-应用】Agent系统设计与多智能体架构,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Manning图书页,在线课程/官方文档,https://www.manning.com/books/ai-agents-in-action-second-edition,【技术-应用】Agent系统设计与多智能体架构,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Anthropic Model Context Protocol官方文档,在线课程/官方文档,https://modelcontextprotocol.io,【技术-应用】Agent系统设计与多智能体架构,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Manning liveBook试读,文章/其他资料,https://livebook.manning.com/book/ai-agents-in-action-second-edition,【技术-应用】Agent系统设计与多智能体架构,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《Evals for AI Engineers》,书籍,,【技术-应用】AI系统与Agent评估监测,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Maven课程《AI Evals For Engineers & PMs》,在线课程/官方文档,https://maven.com/parlance-labs/evals,【技术-应用】AI系统与Agent评估监测,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
DeepLearning.AI《Automated Testing for LLMOps》,在线课程/官方文档,https://www.deeplearning.ai/short-courses/automated-testing-llmops,【技术-应用】AI系统与Agent评估监测,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Hamel Husain个人博客/Substack,文章/其他资料,https://hamelhusain.substack.com/,【技术-应用】AI系统与Agent评估监测,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
《A Simple Guide to Retrieval Augmented Generation》,书籍,,【技术-数据】语义检索系统设计与RAG,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
Manning图书页,在线课程/官方文档,https://www.amazon.com/Simple-Guide-Retrieval-Augmented-Generation/dp/1633435857,【技术-数据】语义检索系统设计与RAG,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
DeepLearning.AI《Building Applications with Vector Databases》(Pinecone) 见,在线课程/官方文档,https://www.deeplearning.ai/courses,【技术-数据】语义检索系统设计与RAG,⭐⭐⭐,来自AI-Native能力模型_学习进阶路径与参考资料库的官方推荐,
